FName,LName,AreaCode,Phone,City,State,Zip,MaritalStatus,HasChild,Salary,Rate DOUBLE,SingleExemp,ChildExemp
Dietmar,Maamar,330,184-1346,OAK HARBOR,OH,43449,S,Y,48500,2.155977,1300,1300
Stevo,Meckler,785,156-1680,HUTCHINSON,KS,67501,S,Y,99500,6.45,2250,2250
Gerd,Luukkainen,323,144-1791,COULTERVILLE,CA,95311,M,N,32500,7.1807356,0,0
Szymon,Kluthe,843,160-1845,HEATH SPRINGS-typoALMONT,SC-typoGA,29058,M,Y,30000,7.0,0,3300
Eibe,Mitchem,228,144-1600,VARDAMAN,MS,38878,S,Y,58500,5.0,6000,1500
Ernie,Gilg,954,102-1775,TAMPA,FL,33616,S,N,11500,0.0,0,0
Liangchun,Conta,219,159-1775,HAMMOND,IN,46325,S,N,4000,3.4,1000,0
Ranabir,Vogley,505,139-1768,RUIDOSO,NM,88345,S,N,93500,5.3,3300,0
Ronaldo,Lehar,406,117-1727,MANHATTAN,MT,59741,M,Y,42000,6.9,0,1900
Roxanne,Hemaspaandra,906,114-1392,SUNFIELD,MI,48890,S,N,54000,3.9,3100,0
Geraint,Terziyan,443,104-1478,CHESAPEAKE CITY,MD,21915,M,Y,60000,4.75,0,2400
Kare,Therien,207,114-1712,SPRINGVALE,ME,4083,S,Y,20000,8.5,2850,2850
Helge,Slysz,302,174-1089,WILMINGTON,DE,19896,M,N,49500,5.234091,0,0
Elias,Vasukiammaiyar,208,187-1413,BOISE,ID,83731,S,N,19500,6.806456,3300,0
Munehiro,Emden,313,159-1887,LANSING,MI,48906,M,N,500,3.9,0,0
Cristiano,Stieger,603,140-1180,SANBORNVILLE,NH,3872,S,N,46500,0.0,0,0
Clara,Covnot,720,157-1297,TOPONAS,CO,80479,M,N,78000,4.63,0,0
Alty,Tompits,334,121-1168,BIRMINGHAM,AL,35203,M,Y,28500,5.0,0,300
Atsumi,Jungst,307,121-1656,LARAMIE,WY,82072,S,N,21500,0.0,0,0
Sajal,Kubicek,620,112-1690,TORONTO,KS,66777,M,N,50500,6.45,0,0
Landy,Gascon,914,144-2045,STATEN ISLAND,NY,10314,M,Y,54500,4.2693596,0,1000
Renato,Harllee,603,161-1922,MOULTONBOROUGH,NH,3254,S,Y,21500,0.0,0,0
Nizar,Khang,813,127-1139,MIAMI,FL,33265,M,Y,78500,0.0,0,0
Peggy,Tupikova,915,171-2028,FORT WORTH-typoHARTMAN,MI,76133,S,Y,87500,0.0,0,0
Imari,Noah,623,137-1023,STANFIELD,AZ,85272,S,Y,70500,3.80775,2100,2300
Jin,Bramson,401,178-1190,HOPE VALLEY-typoLA VETA,NV,2832,S,N,69500,0.0,0,0
Tomasz,Lauff,802,136-2057,NORTH FERRISBURGH,VT,5473,S,N,20500,3.6,3300,0
Amokrane,Popplestone,303,166-1524,DEER TRAIL,CO,80105,M,N,61500,4.63,0,0
Blagovest,Rahola,425,131-1903,MINERAL,WA,98355,M,N,31000,0.0,0,0
Anirvan,Roucairol,608,169-1977,SARONA,WI,54870,M,Y,97000,6.1317925,0,400
Wentai,Camurati,865,198-1788,SEVIERVILLE,TN,37864,M,N,58000,0.0,0,0
Boris,Cavalieri,404,185-1934,AUBURN,GA,30011,M,Y,48000,6.0,0,3000
Avinoam,Schaeffer,228,134-1326,LA VETA,IA,38954,S,Y,90000,5.0,6000,1500
Sungdo,Hennebert,907,127-1933,HARTMAN,AK-typoNV,99750,M,Y,71000,0.0,0,0
Ato,Regli,417,197-2039,NEOSHO,MO,64850,S,Y,66000,6.0,2100,1200
Chengjiang,Rotteler,970,117-1566,ECKLEY,CO,80727,S,N,11000,4.63,0,0
Jasminko,Rahmat,808,127-1701,HAKALAU,HI,96710,S,Y,13500,3.4730263,1040,1040
Sigurdur,Pileggi,606,133-1897,CUNNINGHAM,KY,42035,M,N,9500,2.3611112,0,0
Low,Kornacker,978,118-1436,BOSTON,MA,2241,S,N,84000,5.3,3575,0
Morikazu,Kinnersley,720,184-1048,TRINCHERA,CO,81081,M,Y,90500,4.63,0,0
Katarzyna,Koldinger,308,124-1054,COZAD,NE,69130,M,N,80000,6.84,0,0
Patchrawat,Provine,480,140-1010,SAN TAN VALLEY,AZ,85143,M,N,88500,4.08675,0,0
Frederich,Weinreich,802,175-1118,JEFFERSONVILLE,VT,5464,S,N,33500,3.6716235,3300,0
Mengchi,Culetu,787,147-1345,MOCA,PR,676,M,N,87000,0.0,0,0
Laszlo,Waroquier,843,118-2036,JOHNSTON-typoNORTH FORT MYERS,IA,29832,M,Y,47000,7.0,0,3300
Ireneusz,Fullerton,401,108-2099,WARWICK,RI,2888,S,N,57000,0.0,0,0
Utpal,Pajarola,910,194-1434,FUQUAY VARINA,NC,27526,M,Y,9000,6.0,0,3300
Raul,Rekhi,870,135-1972,GREENLAND,AR,72737,S,Y,60500,7.0,20,20
Piraye,Brancadori,404,195-1937,TURNERVILLE,GA,30580,S,N,93000,6.0,2700,0
Pasquale,Kakkar,479,135-1479,HARTMAN,NV,71945,S,Y,93500,7.0,20,20
Chendong,Lindgreen,951,175-1425,LONG BEACH,CA,90888,M,N,55000,9.3,0,0
Adrain,Skinner,201,140-1456,DUNELLEN,NJ,8812,M,N,44500,1.7863854,0,0
Yasuma,Norsworthy,608,160-1791,WOODVILLE,WI,54028,S,Y,92000,6.0449166,700,400
Gunhild,Jungst,351,195-1084,MADISON LAKE,MA-typoNV,1775,M,N,68500,5.3,0,0
Musaravakkam,Rips,603,196-1361,NEWBURY-typoALMONT,NV,3255,S,Y,63000,0.0,0,0
Resve,Peris,480,163-2026,GLENDALE,AZ,85303,S,Y,15000,2.9475,2100,2300
Aurore,Rothwell,908,146-1168,AVALON,NJ,8202,M,Y,17000,1.4,0,1500
Yvonne,Aho,406,156-1501,BAINVILLE,MT,59212,S,N,26000,6.9,1900,0
Terri,Kohle,847,119-1343,SPRINGFIELD,IL,62757,M,N,14500,3.0,0,0
Clay,Vivekananda,339,115-1854,CAMBRIDGE,MA,2140,S,N,43000,5.3,3575,0
Saimond,Cacciabue,262,128-1732,NORTH FORT MYERS,WI-typoIA,53950,S,N,75500,5.758227,700,0
Bitan,Eustace,701,166-1701,ELGIN,ND,58533,S,Y,17500,2.1,3300,3300
Gregg,Faria,808,152-1360,MAKAWAO,HI,96768,S,Y,16500,4.013816,1040,1040
Rishiyur,Reifer,262,134-1579,CHETEK,WI,54728,M,N,90000,6.010166,0,0
Shun,McKinlay,804,189-1044,RIDGEWAY,VA,24148,S,N,76500,5.75,900,0
Heung,Swanberg,540,176-1392,MONTROSS,VA,22520,S,N,25000,5.75,900,0
Jiong,Ternovskaia,434,111-1175,PETERSBURG,VA,23804,S,Y,89500,5.75,900,900
Gadiel,Kehtarnavaz,330,144-1800,CABLE,OH,43009,S,Y,21500,1.2597154,1300,1300
Lone,Sanglu,337,181-1459,DELTA,LA,71233,S,Y,77500,6.0,4500,1000
Shahar,Berild,308,148-1954,BAYARD,NE,69334,M,N,21500,5.952033,0,0
Usama,Myers,917,134-1191,DEANSBORO,NY,13328,S,Y,4500,4.0,0,1000
Maytham,Bidwell,775,108-1354,LAS VEGAS,NV,89139,M,Y,36500,0.0,0,0
Moray,Koschke,505,122-1140,WINSTON,NM,87943,M,Y,84000,5.3,0,3300
Raqui,Goil,805,171-1706,FRESNO,CA,93740,S,N,38500,8.5971985,87,0
Yamin,Nota,202,124-1232,WASHINGTON,DC,20524,M,Y,90000,9.0,0,1370
Meltem,Uzun,308,175-1551,WAUSA,NE,68786,S,Y,39000,6.84,103,103
Adeline,Bill,603,199-1254,NASHUA,NH,3060,S,Y,51500,0.0,0,0
DooHyun,Raamot,936,172-1239,BYERS,TX,76357,S,Y,25500,0.0,0,0
Berthier,Gottsman,828,144-1102,MARSHALL,NC,28753,S,Y,86500,7.547203,3300,3300
Dian,Clitherow,540,101-1910,CHARLOTTESVILLE,VA,22902,S,Y,49000,5.75,900,900
Bush,Shimono,252,140-1486,MADISON LAKE,NV,28439,S,N,44000,6.6555943,3300,0
Yongun,Ravat,662,198-1616,GRENADA,MS,38901,M,Y,55500,5.0,0,1500
Siba,Salvato,231,170-1207,MUIR,MI,48860,M,Y,3500,3.9,0,3100
Tunu,Kildall,208,151-1150,LACLEDE,ID,83841,S,Y,75500,7.8,3300,3300
Jahangir,Cat,208,136-1840,BOISE-typoNORTH FORT MYERS,GA,83722,M,Y,66000,7.8,0,3300
Baltasar,Mizunuma,440,131-1366,PERRYSBURG,OH,43552,M,Y,26500,1.4256897,0,1300
Jaejoo,Iwanuma,203,198-1058,BRIDGEPORT,CT,6602,S,N,98000,5.0,12750,0
Leland,Kadobayashi,253,123-1121,LYNDEN,WA,98264,M,Y,62000,0.0,0,0
Truxton,Spink,509,120-1537,TACOMA,WA,98416,S,N,88500,0.0,0,0
Yudong,Mitkas,218,114-1797,MINNEAPOLIS,MN,55430,M,Y,84000,7.85,0,3300
Tzachi,Cat,785,115-1124,BARNARD,KS,67418,S,Y,33000,6.45,2250,2250
Anderson,Koshors,603,175-1935,NOTTINGHAM,NH,3290,S,N,66500,0.0,0,0
Hwayong,Zendler,301,157-1902,BALTIMORE,MD,21239,S,N,38500,4.75,2400,0
JiYoung,Birdsall,623,120-1345,CORTARO,AZ,85652,M,N,15000,2.9475,0,0
Toshikazu,Antognini,434,117-1101,KEELING,VA,24566,S,N,27500,5.75,900,0
Sabyasachi,Worner,402,140-1879,ATKINSON-typoMADISON LAKE,WV,68713,M,Y,83000,6.84,0,103
Frederick,Markatos,605,143-1115,BROOKINGS,SD,57007,M,Y,78500,0.0,0,0
Itaru,Even,603,169-1693,WARREN,NH,3279,M,N,39500,0.0,0,0
Guohong,Macmillan,302,173-1661,WILMINGTON,DE,19805,M,Y,29500,3.8704543,0,110
Aditya,Ruffo,574,150-1673,BLOOMINGDALE,IN,47832,S,N,19500,3.4,1000,0
Yigit,Wick,787,143-1270,SAN JUAN,PR,909,M,N,35000,0.0,0,0
Ramaswami,Jurik,541,152-1765,KENT-typoHARTMAN,OR-typoGA,97033,M,N,71000,9.0,0,0
Wilfredo,Girona,618,137-1386,CHICAGO,IL,60618,S,Y,31500,3.0,2000,2000
Landon,Lauchli,207,109-1798,WEST FORKS-typoALMONT,ME-typoGA,4985,S,N,25500,8.5,2850,0
Masum,Brooks,208,156-1940,MURRAY,ID,83874,S,N,7000,3.2580833,3300,0
Bertram,Osgood,606,107-1424,MC CARR,KY,41544,M,N,97500,6.0,0,0
Joop,Moursund,571,164-1605,NASSAWADOX,VA,23413,S,Y,500,2.0,900,900
Ladislas,Zukowski,802,111-2064,NORTON,VT,5907,S,Y,99500,4.984724,3300,3300
Junichiro,Aberg,848,146-1659,MILLVILLE,NJ,8332,S,Y,15000,1.4,1000,1500
Detlev,Araki,540,143-1293,NEWBERN,VA,24126,S,Y,5500,2.669643,900,900
Audrey,Keen,623,196-1818,PHOENIX,AZ,85037,S,N,8500,2.87,2100,0
Guohui,Manders,406,198-1577,NASHUA,MT,59248,S,Y,98000,6.9,1900,1900
Lilian,Bentlage,803,148-1342,LADSON,SC,29456,S,N,89500,7.0,3300,0
Alexandr,Weismantel,816,152-1881,BOURBON,MO,65441,S,Y,37000,6.0,2100,1200
Clemens,Purday,504,196-1738,OAK GROVE,LA,71263,M,N,58000,6.0,0,0
Taylor,Klupsz,814,188-1086,SEANOR,PA,15953,S,N,87500,3.07,0,0
Leora,Gibson,423,112-1931,BON AQUA,TN,37025,M,N,60000,0.0,0,0
Anthony,Risk,605,146-1690,WATERTOWN,SD,57201,S,N,56500,0.0,0,0
Danny,Merzbacher,870,170-1901,GEPP,AR,72538,S,N,5000,1.3826939,20,0
Shimshon,Soderston,570,152-1487,LA VETA,PA-typoMI,19093,S,N,79000,3.07,0,0
Yulu,Gehringer,320,149-1501,FOREST LAKE,MN,55025,M,Y,84500,7.85,0,3300
Songjie,Caspi,605,107-1247,ELLSWORTH AFB,SD,57706,S,Y,46500,0.0,0,0
Jaroslaw,Sagawa,480,148-1881,PHOENIX,AZ,85040,S,N,6000,2.87,2100,0
Bilge,Streicher,401,101-2026,GREENVILLE,RI,2828,S,Y,28000,0.0,0,0
Ifor,Bordogna,304,158-1611,KIMBALL,WV,24853,S,Y,84500,6.5,2000,2000
Bongham,Biryukow,208,197-1763,ALMONT,GA,83808,S,Y,27000,7.8,3300,3300
Carine,Sakagami,423,177-1505,DRUMMONDS,TN,38023,S,Y,30500,0.0,0,0
Dudley,Cedeno,402,119-1990,OTOE,NE,68417,M,Y,63500,6.84,0,103
Aneurin,Ali,620,133-1752,HIGHLAND,KS,66035,S,N,51000,6.45,2250,0
Jawad,Lienhardt,520,173-1968,ROUND ROCK,AZ,86547,S,Y,61500,3.6682498,2100,2300
Leona,Koyama,641,182-1737,GARDEN CITY,IA,50102,S,Y,45000,7.111101,40,40
Zhiliang,Bakhtari,302,148-1828,WILMINGTON,DE,19808,S,N,60000,5.95,110,0
Jatin,Cavin,706,185-1149,LA VETA,GA-typoWV,30813,S,N,20000,6.0,2700,0
Ekow,Kurbel,216,174-1481,WILMOT,OH,44689,M,N,24500,1.3593,0,0
Udo,Berleant,812,114-1601,NORTH FORT MYERS,IN-typoWV,47568,S,Y,37000,3.4,1000,1000
Ushio,Olenski,207,143-1936,STRONG,ME,4983,M,Y,26500,8.5,0,2850
Doug,Mitusi,307,158-2068,GREYBULL,WY,82426,S,N,71500,0.0,0,0
Toine,Demmer,505,144-2056,MORA,NM,87732,S,Y,85000,5.3,3300,3300
Kacem,Aba,401,132-1031,WAKEFIELD,RI,2880,M,Y,76500,0.0,0,0
Neila,Waumans,410,108-1752,HAGERSTOWN,MD,21746,S,N,70000,4.75,2400,0
Rolland,Mondadori,907,184-1828,KARLUK,AK,99608,S,Y,67500,0.0,0,0
Haldun,Katona,910,170-1116,KERNERSVILLE,NC,27284,M,N,14000,6.0262237,0,0
Mari,Pino,802,187-1172,WATERBURY,VT,5676,S,N,22500,3.6,3300,0
Jixiang,Bercovich,801,184-1962,SAINT GEORGE,UT,84790,M,Y,98500,7.0,0,2475
Lisbeth,Evens,603,104-1572,PORTSMOUTH,NH,3802,S,N,61500,0.0,0,0
Kaushik,Olkin,262,136-1496,EDGAR,WI,54426,M,Y,56000,5.4194117,0,400
Jairus,Papelis,202,149-1815,WASHINGTON,DC,20395,M,Y,89500,9.0,0,1370
Kiriakos,Stiemerling,856,124-1512,HIGHLAND LAKES,NJ,7422,M,N,30000,1.5577083,0,0
Rami,Styles,608,186-1605,TOMAH,WI,54660,M,N,76500,5.7756023,0,0
Erann,Peral,401,180-1729,PAWTUCKET,RI,2862,S,Y,17000,0.0,0,0
Yaniv,Plummer,941,158-1668,SAINT PETERSBURG,FL,33715,S,Y,43000,0.0,0,0
Veronik,Chaudry,870,133-1652,BENTONVILLE,AR,72712,M,N,60000,7.0,0,0
Chitra,Kombarov,505,107-1082,GARFIELD,NM,87936,S,Y,90500,5.3,3300,3300
Keumog,Mareels,307,129-2095,NORTH FORT MYERS,WV,82190,S,N,88000,0.0,0,0
Roslyn,Parashkevov,339,156-1664,BOLTON,MA,1740,M,N,87000,5.3,0,0
Rajkumar,Jonsson,219,121-1962,SELMA,IN,47383,M,Y,85000,3.4,0,1000
Masao,Recce,603,104-1911,JACKSON,NH,3846,S,N,15000,0.0,0,0
Myla,Tretkoff,714,132-1650,BLYTHE,CA,92225,M,N,74000,9.3,0,0
Bogong,Dragt,770,117-1305,DACULA,GA,30019,M,N,25500,6.0,0,0
Misako,Kehl,231,103-1881,BRIGHTON,MI,48114,M,N,91000,3.9,0,0
Ying,Stentiford,774,117-1155,BOLTON,MA,1740,M,Y,86000,5.3,0,1000
Manoranjan,Convent,308,117-1654,LIBERTY,NE,68381,S,N,68500,6.84,103,0
Melchior,Charretton,601,188-1518,WATERFORD-typoHARTMAN,NV,38685,S,Y,35500,5.0,6000,1500
Yohtaro,Arabi,678,170-1065,NORTH FORT MYERS,GA-typoIA,31107,M,Y,26500,6.0,0,3000
Parimal,Uejio,425,146-1020,WASHOUGAL,WA,98671,M,N,99500,0.0,0,0
Ramamohanrao,McCabe,913,152-1834,AGRA,KS,67621,S,Y,69500,6.45,2250,2250
Darwen,Ruttan,939,176-2061,CAROLINA,PR,986,S,Y,84000,0.0,0,0
Baoling,Corless,802,122-1436,NORTH HARTLAND,VT,5052,S,Y,98000,4.954881,3300,3300
Reinder,Rudaz,939,139-1463,RIO GRANDE,PR,745,M,Y,85000,0.0,0,0
Plamena,Calvin,727,110-1413,DESTIN,FL,32540,S,N,55000,0.0,0,0
Myron,Heinzelmann,520,151-1417,PARKS,AZ,86018,M,N,55500,3.57525,0,0
Boguslaw,Tash,939,112-2080,ROOSEVELT ROADS,PR,742,M,Y,52500,0.0,0,0
Miltos,Kornacker,240,101-1181,PHOENIX,MD,21131,S,N,59500,4.75,2400,0
Wido,Largo,802,111-1521,WAITSFIELD,VT,5673,M,Y,70500,4.407756,0,3300
Bhubaneswar,Tolva,714,163-2034,REPRESA,CA,95671,S,N,54000,9.3,87,0
Chian,Malzbender,971,178-2001,WELCHES,OR,97067,M,N,17000,9.0,0,0
Wally,Weatherly,781,186-2027,TYNGSBORO,MA,1879,M,N,93000,5.3,0,0
Jocelyne,Abali,920,183-1067,KELLNERSVILLE,WI,54215,S,N,90000,6.010166,700,0
Remzi,Kameya,907,110-1975,MEKORYUK,AK,99630,M,N,53500,0.0,0,0
Iordana,McClure,785,166-1318,BEACON FALLS,CT,66439,M,N,90000,6.45,0,0
Usha,Grundmann,206,107-1561,ELLENSBURG,WA,98926,S,N,10000,0.0,0,0
Cuie,Pacholski,207,169-1951,CLINTON,ME,4927,S,N,23500,8.5,2850,0
Mabry,Stallard,406,197-1947,BROADVIEW,MT,59015,S,Y,93500,6.9,1900,1900
Efim,Razborov,207,110-1876,YORK BEACH,ME,3910,S,N,5000,2.2135036,2850,0
Steen,Zhongzhi,952,190-1008,HACKENSACK,MN,56452,S,N,65000,7.724066,3300,0
Rogelio,Edman,219,196-1800,SOUTH BEND,IN,46601,S,Y,60000,3.4,1000,1000
Jordanka,Phan,570,192-2083,BLAIRSVILLE,PA,15717,M,N,48500,3.07,0,0
Masaki,Vigna,605,140-1253,MANSFIELD-typoMADISON LAKE,IA,57460,S,N,65500,0.0,0,0
Astro,Bergevin,251,190-1657,BIRMINGHAM,AL,35235,S,Y,98000,5.0,1500,300
Lama,Nishizawa,208,137-1161,DECLO,ID,83323,M,N,87000,7.8,0,0
Manu,Gyssens,769,112-1098,BROOKHAVEN,MS,39602,S,Y,64000,5.0,6000,1500
Dursun,Dymetman,541,102-1568,NESKOWIN,OR,97149,S,N,51500,9.0,159,0
Suhayya,Hanzalek,208,166-1345,CATALDO,ID,83810,S,N,87000,7.8,3300,0
Sita,Gentili,479,168-1175,LAMAR,AR,72846,S,N,36500,7.0,20,0
Lucy,Coney,785,153-1333,HAVENSVILLE,KS,66432,M,N,61000,6.45,0,0
Parimala,Heusch,734,177-1926,HARTMAN,MI-typoIA,48375,M,Y,85500,3.9,0,3100
